Precinct,L1_total,L1_Black,L1_Hisp,L1_white,L2_total,L2_Black,L2_Hisp,L2_white,L3_total,L3_Black,L3_Hisp,L3_white,L3_ME
1,"9,550","3,941","2,132","2,191",11,7,0,2,28,18,4,4,0
5,"5,191","1,392",887,"1,047",6,3,3,0,31,19,5,4,0
6,"2,733",817,524,996,5,0,0,5,49,35,6,6,0
7,"3,894","1,297","1,115",845,12,6,4,2,52,32,14,3,0
9,"10,150","3,179","2,723","3,087",18,5,6,6,25,13,6,5,0
10,"5,880","1,900","1,333","1,645",11,5,2,4,12,7,3,1,0
13,"7,122","2,713","1,586","1,861",57,13,20,12,49,32,12,3,1
14,"8,302","3,059","2,576","1,494",31,7,13,5,156,74,67,8,1
17,"2,178",535,410,818,2,1,0,0,10,4,4,1,0
18,"8,405","2,900","1,982","1,647",38,16,10,7,57,17,29,7,1
19,"7,135","1,686","1,750","2,741",26,7,8,6,38,24,10,4,0
20,"5,148","1,288","1,233","1,939",9,2,3,3,39,23,9,5,0
22,"1,439",380,354,455,10,6,3,1,15,4,10,1,0
23,"6,567","2,535","2,607",662,93,58,27,1,90,57,24,4,0
24,"7,382","2,788","2,224","1,749",44,25,17,1,69,47,17,2,1
25,"8,341","4,621","2,647",628,78,59,16,2,81,55,18,4,0
26,"3,457","1,676",908,520,39,26,10,3,30,26,3,1,0
28,"8,536","5,981","1,487",674,75,60,11,1,75,65,6,2,0
30,"5,830","2,120","2,853",419,14,11,3,0,35,19,15,0,0
32,"7,173","4,883","1,324",411,46,32,9,1,91,79,9,2,0
33,"6,428","1,309","4,318",458,55,17,38,0,58,21,36,1,0
34,"5,642",763,"4,026",560,94,21,70,2,94,19,66,7,1
40,"7,612","3,374","3,167",292,147,38,37,4,270,132,92,10,3
41,"4,831","1,938","2,532",125,63,25,34,4,75,34,33,2,0
42,"8,163","4,266","3,235",230,84,55,25,2,193,111,54,0,0
43,"5,269","1,930","2,458",152,37,18,16,0,304,176,109,5,1
44,"9,663","4,013","3,903",387,87,32,51,2,225,94,96,5,2
45,"9,511","3,485","3,987","1,275",144,57,71,5,61,27,23,6,0
46,"7,380","2,672","4,193",255,113,52,59,2,355,138,161,1,0
47,"9,515","6,297","2,237",406,57,43,9,1,135,80,28,5,1
48,"14,787","6,270","7,046",823,139,82,51,2,310,147,93,4,1
49,"6,180","2,277","2,610",704,95,71,19,3,212,116,65,6,3
50,"4,904","1,028","2,397",732,36,13,15,3,58,16,31,4,1
52,"12,439","2,977","7,083",466,130,45,67,1,237,85,102,3,0
60,"14,287","6,499","3,394","2,969",69,35,19,10,53,31,10,8,1
61,"8,063","1,263","1,045","4,705",11,5,1,4,50,22,6,20,1
62,"9,836",856,"2,758","3,608",42,4,14,11,31,4,14,12,0
63,"6,235","3,376",587,"1,645",32,19,2,7,49,37,5,4,2
66,"6,362",687,"1,512","2,378",27,5,11,4,44,14,17,4,0
67,"9,793","7,917",745,338,220,197,12,4,143,129,7,1,0
68,"6,027",441,"1,345","2,722",17,1,1,4,16,4,2,9,0
69,"5,868","4,874",389,262,134,114,9,2,96,88,3,0,0
70,"6,523","3,264",916,"1,350",64,45,9,7,43,32,3,3,0
71,"6,047","4,490",577,715,69,60,5,3,93,79,2,3,0
72,"7,100",809,"2,711",864,41,8,20,7,24,6,14,2,1
73,"8,677","6,297","1,371",385,208,178,21,1,174,153,9,4,1
75,"17,215","10,808","3,953",507,649,515,90,8,298,240,42,2,0
76,"4,802","1,591","1,119","1,566",11,8,2,1,38,14,14,7,2
77,"3,127","2,282",353,310,30,22,2,4,101,82,13,3,0
78,"5,209","1,558",854,"1,091",2,2,0,0,19,14,3,1,0
79,"3,991","2,538",624,494,30,19,7,2,97,67,18,4,0
81,"5,016","3,278",806,420,23,17,5,0,73,67,2,1,0
83,"8,120","2,838","3,920",898,80,43,32,2,74,40,27,6,0
84,"7,481","4,011","1,233","1,461",18,15,2,1,76,47,18,8,0
88,"3,767","2,162",601,587,16,12,2,0,62,42,14,4,0
90,"7,120","2,170","2,604","1,669",42,24,12,4,48,22,23,3,0
94,"4,043",997,"1,001","1,595",14,2,10,1,42,21,11,10,0
100,"5,282","2,518",884,"1,428",21,15,4,1,32,16,4,11,0
101,"5,879","3,733","1,264",560,25,20,2,1,53,39,10,2,0
102,"11,161","1,700","3,533","1,059",8,2,5,0,26,9,12,2,0
103,"11,689","4,951","3,326",512,58,32,14,2,106,66,26,3,1
104,"11,975","1,179","5,660","3,807",13,3,5,2,39,6,21,8,1
105,"9,821","5,793","1,101",714,74,64,4,3,84,63,14,5,0
106,"8,816","1,743","1,496","1,036",32,8,11,2,48,30,9,0,0
107,"11,089","3,653","2,652","1,861",27,12,7,2,25,4,14,5,0
108,"7,475","1,176","2,829","1,642",17,1,11,5,22,5,9,2,1
109,"6,304",700,"1,565","1,097",7,0,6,1,53,11,30,2,0
110,"10,036",926,"6,922",559,36,2,34,0,130,15,107,2,2
111,"5,094",483,904,"1,747",5,1,1,2,35,10,14,4,3
112,"4,618",751,"1,180","1,739",4,2,0,1,29,9,10,9,0
113,"6,261","4,060",534,108,83,64,6,2,105,93,5,0,0
114,"8,431","1,751","2,813","2,573",37,15,13,3,66,25,27,3,8
115,"3,384",333,"2,493",139,14,2,9,2,63,8,51,0,1
120,"7,308","3,147","1,734","1,638",10,6,2,2,103,76,20,7,0
121,"4,699","1,344","1,216","1,633",17,4,10,1,66,36,19,10,0
122,"7,888","1,048","1,101","4,791",3,0,2,1,24,10,7,7,0
123,"2,799",172,319,"2,021",6,0,1,4,19,1,2,11,1
