Precinct,L1_total,L1_Black,L1_Hisp,L1_white,L1_ME,L2_total,L2_Black,L2_Hisp,L2_white,L2_ME,L3_total,L3_Black,L3_Hisp,L3_white,L3_ME
1,"9,981","3,782","1,850","2,994",366,5,3,1,0,1,37,24,9,3,1
5,"10,159","3,085","2,298","2,191",172,8,4,0,2,0,25,11,9,4,1
6,"5,030","1,821",992,"1,629",144,2,2,0,0,0,33,20,7,5,0
7,"12,890","4,502","3,968","2,463",407,8,5,2,0,0,48,31,14,3,0
9,"14,367","4,371","3,917","4,394",291,10,2,6,2,0,47,25,13,7,1
10,"8,417","2,706","1,959","2,253",320,7,2,3,2,0,33,19,8,6,0
13,"7,341","2,821","1,526","1,860",241,5,0,2,1,1,73,48,11,9,1
14,"16,000","5,978","3,722","3,038",613,23,8,9,2,3,96,41,38,12,3
17,"10,972","3,186","2,030","3,480",669,3,1,2,0,0,22,11,6,5,0
18,"8,665","2,838","1,824","1,864",365,5,0,2,3,0,56,31,16,9,0
19,"9,546","2,303","2,063","3,555",250,7,2,2,2,1,65,32,21,8,2
20,"6,687","1,822","1,455","2,310",112,7,3,2,2,0,36,22,7,4,1
22,"1,729",345,294,785,94,0,0,0,0,0,2,2,0,0,0
23,"10,678","4,518","3,639",955,257,57,24,16,1,0,132,72,53,1,4
24,"8,326","3,597","2,512","1,636",100,31,14,4,0,0,74,48,23,3,0
25,"9,460","5,126","2,856",710,227,65,31,14,0,2,64,43,18,2,1
26,"6,017","3,150","1,529",656,193,27,13,12,0,0,40,28,11,1,0
28,"10,661","7,351","1,859",559,143,63,42,5,3,0,83,65,16,1,1
30,"8,330","3,052","3,336",666,150,19,5,8,0,0,45,20,23,2,0
32,"12,087","8,471","2,265",591,209,59,39,9,0,0,97,79,18,0,0
33,"8,327","1,694","5,719",619,100,108,22,78,4,2,50,8,42,0,0
34,"8,040","1,378","5,418",769,62,174,46,109,6,2,85,19,58,6,2
40,"17,571","7,326","6,724",548,192,420,95,66,10,2,326,181,136,6,1
41,"8,143","2,847","3,875",233,103,141,57,70,2,0,83,47,34,2,0
42,"7,492","3,612","2,716",224,112,353,197,92,5,3,225,169,50,4,0
43,"15,581","5,961","7,186",326,290,100,47,45,0,0,321,186,126,5,1
44,"10,582","3,823","3,611",419,144,224,78,104,5,1,200,105,89,4,2
45,"8,661","2,681","3,568","1,173",165,93,46,35,3,0,65,39,24,1,1
46,"12,297","4,936","6,085",649,192,382,114,227,7,4,272,134,125,6,6
47,"9,853","5,534","2,960",350,130,135,96,18,2,0,154,126,26,2,0
48,"14,173","5,661","7,184",609,158,295,145,117,11,1,247,150,94,3,0
49,"5,896","2,111","2,288",678,221,33,20,8,3,1,66,42,19,4,1
50,"7,786","1,600","3,796","1,065",116,50,16,29,3,0,43,19,21,3,0
52,"19,461","5,077","8,530",782,249,179,59,100,2,1,150,54,85,4,3
60,"16,247","6,480","3,269","4,050",570,89,47,19,18,1,85,47,23,14,1
61,"12,153","2,920","1,592","5,829",502,18,4,2,8,1,66,20,11,29,0
62,"10,693","1,714","2,882","3,817",428,36,3,6,17,2,27,5,9,10,0
63,"9,636","5,322",797,"2,306",344,10,7,0,2,0,68,53,2,9,0
66,"5,886","1,399","1,377","1,775",163,128,2,7,8,0,51,10,22,5,2
67,"13,626","11,088",986,510,327,76,62,2,0,2,141,130,10,0,1
68,"7,574",897,"1,502","2,973",667,27,1,9,3,6,52,8,17,16,6
69,"10,915","8,866",896,510,299,59,54,2,1,0,70,58,6,3,1
70,"10,814","5,478","1,481","2,155",326,44,32,5,4,1,62,43,9,8,1
71,"6,118","4,241",619,887,109,17,12,4,0,1,76,65,5,5,0
72,"17,733","2,674","5,020","1,889",280,60,0,23,4,1,46,4,24,3,0
73,"14,354","10,821","1,524",394,159,410,288,43,5,2,237,211,17,7,1
75,"12,418","7,776","2,698",423,201,"1,407","1,101",229,18,11,409,344,62,0,2
76,"9,770","3,523","2,127","2,783",384,7,2,2,1,0,44,28,6,7,2
77,"4,414","3,132",418,461,59,201,172,19,2,1,89,72,15,1,0
78,"5,697","2,390","1,088","1,378",133,4,1,3,0,0,41,17,17,7,0
79,"9,208","6,097","1,667",762,216,69,58,6,0,2,97,77,17,1,0
81,"3,644","2,543",570,248,58,212,183,17,1,1,123,114,5,3,0
83,"9,618","3,083","4,664","1,198",183,159,64,83,6,0,104,48,50,6,0
84,"12,909","6,381","2,197","2,520",394,46,36,8,1,0,74,47,16,4,1
88,"7,460","4,509","1,119","1,248",99,40,26,8,3,1,37,27,6,3,1
90,"13,724","4,539","4,370","2,868",276,84,39,40,2,0,42,18,17,4,0
94,"6,350","2,045","1,284","2,365",155,6,2,4,0,0,30,12,12,5,1
100,"3,987","1,859",547,"1,113",100,28,20,3,4,0,44,33,4,6,0
101,"6,796","4,157","1,245",725,88,139,100,26,5,2,118,90,26,1,0
102,"11,719","1,694","3,756","1,338",726,48,9,29,1,0,22,6,9,1,1
103,"13,593","6,412","3,324",599,550,171,123,28,3,1,117,58,41,5,1
104,"11,043","1,632","4,704","3,301",367,15,3,9,2,1,42,7,25,9,0
105,"7,941","3,789",837,825,324,34,21,5,1,1,31,22,4,2,0
106,"11,299","2,462","1,794","1,267",238,46,9,16,3,0,56,27,8,2,1
107,"8,263","2,549","1,750","1,765",436,11,4,4,1,0,30,15,6,5,0
108,"5,422","1,146","2,019",998,244,6,2,3,1,0,26,9,13,2,1
109,"15,952","1,985","4,115","2,429",298,19,3,10,1,2,54,16,23,4,1
110,"8,395","1,257","5,093",531,209,66,12,41,2,0,89,7,75,3,0
111,"6,265",741,"1,113","2,103",155,0,0,0,0,0,30,9,9,4,2
112,"6,479","1,336","1,479","2,192",252,7,1,4,1,0,42,14,16,11,0
113,"8,892","5,462",710,124,183,227,93,11,5,0,92,82,5,1,1
114,"9,831","4,129","2,661","1,707",424,112,33,50,6,4,118,47,45,12,9
115,"5,589",619,"3,858",362,226,68,8,52,0,1,90,15,71,4,0
116,"9,619","7,292",911,424,296,181,148,23,0,0,78,67,8,1,1
120,"9,176","3,983","1,921","2,315",432,158,100,33,17,6,117,82,22,10,2
121,"8,170","2,551","1,680","2,726",350,53,33,8,7,2,95,50,33,9,2
122,"6,566",758,837,"4,100",290,3,0,2,1,0,44,12,8,21,2
123,"3,985",208,375,"2,949",228,2,0,0,2,0,13,4,1,6,1
